ts,pair,long_venue,long_symbol,long_bid,long_ask,short_venue,short_symbol,short_bid,short_ask,entry_edge_bps,position_qty,long_avg_entry,short_avg_entry
2026-05-07T16:00:24.516445Z,META_ext_vs_grvt,extended,META_24_5-USD,622.21000000,623.03000000,grvt,META_USDT_Perp,623.41000000,623.42000000,-6.4008,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,META_grvt_vs_ext,grvt,META_USDT_Perp,623.41000000,623.42000000,extended,META_24_5-USD,622.21000000,623.03000000,-31.9091,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,COIN_ext_vs_grvt,extended,COIN_24_5-USD,193.61000000,193.84000000,grvt,COIN_USDT_Perp,194.28000000,194.36000000,10.1991,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,COIN_grvt_vs_ext,grvt,COIN_USDT_Perp,194.28000000,194.36000000,extended,COIN_24_5-USD,193.61000000,193.84000000,-51.0882,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,PLTR_ext_vs_grvt,extended,PLTR_24_5-USD,138.79000000,138.90000000,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,11.2581,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,PLTR_grvt_vs_ext,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,extended,PLTR_24_5-USD,138.79000000,138.90000000,-50.5419,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,MSTR_ext_vs_grvt,extended,MSTR_24_5-USD,178.44000000,178.53000000,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,56.3960,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,MSTR_grvt_vs_ext,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,extended,MSTR_24_5-USD,178.44000000,178.53000000,-92.0019,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:29.520306Z,MSFT_ext_vs_grvt,extended,MSFT_24_5-USD,424.97000000,425.30000000,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,-1.9192,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:29.520306Z,MSFT_grvt_vs_ext,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,extended,MSFT_24_5-USD,424.97000000,425.30000000,-36.2100,0.00000000,0.00000000,0.00000000
